Company,Category,Address,Phone,URL
RD Battery House,Battery store,"
Hungama, Sri Lanka",,https://www.google.com/maps/place/RD+Battery+House/data=!4m7!3m6!1s0x3ae6b105721dbbb5:0x9a88326cdc814e29!8m2!3d6.1098492!4d80.9328773!16s%2Fg%2F11qsgcr8k6!19sChIJtbsdcgWx5joRKU6B3GwyiJo?authuser=0&hl=en&rclk=1
Sanath Auto Electricals,Auto repair shop,"
44WG+RJ5, Hambantota, Sri Lanka","
+94 77 222 2199",https://www.google.com/maps/place/Sanath+Auto+Electricals/data=!4m7!3m6!1s0x3ae6bd2393aa97c3:0xa03a7f266fb110df!8m2!3d6.147018!4d81.1266187!16s%2Fg%2F11bzs1175x!19sChIJw5eqkyO95joR3xCxbyZ_OqA?authuser=0&hl=en&rclk=1
Bernard Battery Service,Car battery store,"
362 Colombo - Galle - Hambantota - Wellawaya Hwy, Kalutara, Sri Lanka","
+94 77 725 0536",https://www.google.com/maps/place/Bernard+Battery+Service/data=!4m7!3m6!1s0x3ae237037f846085:0xe4422f4f8f3f57f5!8m2!3d6.5968358!4d79.9585738!16s%2Fg%2F11cn629lld!19sChIJhWCEfwM34joR9Vc_j08vQuQ?authuser=0&hl=en&rclk=1
Sisira motors,Auto repair shop,"
77HP+C5R, Tissamaharama, Sri Lanka","
+94 77 903 6726",https://www.google.com/maps/place/Sisira+motors/data=!4m7!3m6!1s0x3ae69dae9998ce9d:0xf53ae8e19f2cee04!8m2!3d6.2786163!4d81.2853932!16s%2Fg%2F11nfnrkvr0!19sChIJnc6Yma6d5joRBO4sn-HoOvU?authuser=0&hl=en&rclk=1
N F Tyre Mart,Tire shop,"
44PG+3MW, Hambantota, Sri Lanka","
+94 77 667 7775",https://www.google.com/maps/place/N+F+Tyre+Mart/data=!4m7!3m6!1s0x3ae6bd1ba4874a1f:0x86968f693fc06925!8m2!3d6.1352491!4d81.1266984!16s%2Fg%2F11bzsd3djy!19sChIJH0qHpBu95joRJWnAP2mPloY?authuser=0&hl=en&rclk=1
J.K. Battery Center,Car battery store,"
New, Tangalle Rd, Matara 81000, Sri Lanka","
+94 77 185 2424",https://www.google.com/maps/place/J.K.+Battery+Center/data=!4m7!3m6!1s0x3ae138d81a616a0b:0x7cc06929830a540!8m2!3d5.9453152!4d80.5554452!16s%2Fg%2F11df7h2xvl!19sChIJC2phGtg44ToRQKUwmJIGzAc?authuser=0&hl=en&rclk=1
PREMADASA INDUSTRIES,Auto repair shop,"
Tissa road, Ambalantota 28100, Sri Lanka","
+94 77 549 2300",https://www.google.com/maps/place/PREMADASA+INDUSTRIES/data=!4m7!3m6!1s0x3ae6bb084e243c63:0x7c9b76507847b617!8m2!3d6.1222425!4d81.0446253!16s%2Fg%2F11g9q83fy6!19sChIJYzwkTgi75joRF7ZHeFB2m3w?authuser=0&hl=en&rclk=1
Hashani Motors,Auto repair shop,"
No - 178/5C Uduwila, Gonagamuwa, Tissamaharama 82600, Sri Lanka","
+94 70 750 1750",https://www.google.com/maps/place/Hashani+Motors/data=!4m7!3m6!1s0x3ae69dc0654104e5:0x65536db94ce05233!8m2!3d6.2603369!4d81.2647556!16s%2Fg%2F11jry88tqq!19sChIJ5QRBZcCd5joRM1LgTLltU2U?authuser=0&hl=en&rclk=1
NIYAS MOBILE HAMBANTOTA,Electronics store,"
No 29 wilmot street, Hambantota, Sri Lanka","
+94 71 914 6592",https://www.google.com/maps/place/NIYAS+MOBILE+HAMBANTOTA/data=!4m7!3m6!1s0x3ae6bd5b27d3588f:0xc611b1973c5b26fd!8m2!3d6.1244306!4d81.1251994!16s%2Fg%2F11h01tbnqw!19sChIJj1jTJ1u95joR_SZbPJexEcY?authuser=0&hl=en&rclk=1
Ishara motors Embilipitiya,Auto repair shop,"
Embilipitiya, Pallegama, Sri Lanka",,https://www.google.com/maps/place/Ishara+motors+Embilipitiya/data=!4m7!3m6!1s0x3ae6ab653040387d:0xecfead9969df405f!8m2!3d6.3252777!4d80.8614752!16s%2Fg%2F11rmw61x12!19sChIJfThAMGWr5joRX0DfaZmt_uw?authuser=0&hl=en&rclk=1
